;Website;General rating;Title;Company;Company_type;Company_sector;Country;City;Summary;Date;Job_id;Job_url
117;indeed;2;Data Scientist - ACRE (CommodityFX Analytics);MCKINSEY & COMPANY;Large Enterprise (+5000 employees);Management Consulting;BELGIUM;Brussel;ACRE is a team of ~45 expert consultants, data scientists, and engineers focused on bringing cutting-edge analytics to agriculture & related clients.;30 day ago;ba896bc11b0459ff;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=0&lang=en&vjk=ba896bc11b0459ff
118;linkedin;1;Data Scientist / Analyst;VISSER & VAN BAARS BVBA;Unknown;Unknown;BELGIUM;Brussels;;4 day ago;2741207929;https://be.linkedin.com/jobs/view/data-scientist-analyst-at-visser-van-baars-bvba-2741207929?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=Gf767km%2FvV%2BvAKM4ja2y3w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
119;linkedin;1;Digital Data Analyst/Scientist;BUZZ BROTHERS;Large Enterprise (+5000 employees);Digital Strategy, Creative Strategy, Content, Viral Marketing, Creative Development, Design, Consumer Insights, Social Media Marketing, Influence, Web Performance, AR/VR Installation, Motion Design;SWITZERLAND;Geneva;;<1 day ago;2742674389;https://ch.linkedin.com/jobs/view/digital-data-analyst-scientist-at-buzz-brothers-2742674389?refId=1sJliK4EG4mDIsjM34onrA%3D%3D&trackingId=cBmJOms2CqUstNMklNQ0Wg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
120;linkedin;1;Data Scientist (H/F/X);ROSSEL;Intermediate-sized Enterprise (251-5000 employees);Presse & Publicité  multimédia;BELGIUM;Brussels;;5 day ago;2743882020;https://be.linkedin.com/jobs/view/data-scientist-h-f-x-at-rossel-2743882020?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=loOqseJ2WccMeI3Nj7xwhQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
121;linkedin;1;Data Scientist ACAPS Switzerland Geneva;NRC EUROPE - NORWEGIAN REFUGEE COUNCIL;Unknown;Unknown;SWITZERLAND;Geneva;;14 day ago;2729549270;https://ch.linkedin.com/jobs/view/data-scientist-acaps-switzerland-geneva-at-nrc-europe-norwegian-refugee-council-2729549270?refId=1sJliK4EG4mDIsjM34onrA%3D%3D&trackingId=%2F3WC9FKYMRKbx9mvsZYa%2Bg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
122;linkedin;1;Data Scientist;REMARK;Startup (1-10 employees);Unknown;NETHERLANDS;Amsterdam;;14 day ago;2706985629;https://nl.linkedin.com/jobs/view/data-scientist-at-remark-2706985629?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=%2BXEAf%2BZNF1x3J%2FmY6aVXBw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
123;linkedin;1;Data Scientist;OPTIVER;Intermediate-sized Enterprise (251-5000 employees);Market Making, Business Operations, Tech, Trading;NETHERLANDS;Amsterdam;;21 day ago;2602471801;https://nl.linkedin.com/jobs/view/data-scientist-at-optiver-2602471801?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=DJPJNpAWsu6Pj3xdn3Jx8w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
124;linkedin;1;Data Scientist;OPTIVER;Intermediate-sized Enterprise (251-5000 employees);Market Making, Business Operations, Tech, Trading;NETHERLANDS;Amsterdam;;7 day ago;2523085824;https://nl.linkedin.com/jobs/view/data-scientist-at-optiver-2523085824?refId=hPO6qy4mazidZvIA89OX1Q%3D%3D&trackingId=lMY0JMla9mXddgRpXmHHEA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
125;linkedin;1;Data Analyst & Adm Assistant;GIVAUDAN;Large Enterprise (+5000 employees);Fragrances & Flavours;SWITZERLAND;Vernier;;2 day ago;2742141947;https://ch.linkedin.com/jobs/view/data-analyst-adm-assistant-at-givaudan-2742141947?refId=cr0YmcrL%2FNskC8MHdVGZfg%3D%3D&trackingId=dbYhA7N06%2FwXnLy26sFmWA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
126;linkedin;1;Data Scientist/Analyst;VISSER & VAN BAARS BVBA;Unknown;Unknown;BELGIUM;Brussels Metropolitan Area;;5 day ago;2740845190;https://be.linkedin.com/jobs/view/data-scientist-analyst-at-visser-van-baars-bvba-2740845190?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=4%2BhTX3KbEbevjwlyO8jQLQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
